# Edit at your own risk. Consists of Car Data and Color Data for GTASA Admin Console
# If you delete this file, it will be regenerated by the next time you run GTASA_Console

DATVersion
# This is the version of the GTASAData.dat, implemented to enable regenerating this file during version changes
# Current version is 2.1.1
211
END_DATVersion

GTASACars
# GTASA Console car,Detail Table for Parking in Garages
# non-drivable vehicles (as AirTrain) and boats should not be parked at all (edit at your own risk)
# planes are not parkable at some garages (due to size of open area in front of garage)
# type 'truck' means that the car,is parked 1/3 outside of the garage so that you can enter in 
# (used only for small garages otherwise handled as car)
# please do not edit the ID of the cars. This is the only reference to the vehicles.ide of GTA San Andreas
# Id	CarName (free text)	Type 		Dim.x * 100	Dim.y * 100	Dim.z *100	hHandling	isParkable	MinorColor	MajorColor	Allowed Modifications (depending on objects in standard dff's)
445,	Admiral,		car,		200,		490,		150,		400000,		1,		34,		34,		3F0;3F1;3F2;43E;43F
602,	Alpha,			car,		200,		500,		200,		200000,		1,		58,		1,		3F0;3F1;3F2;43E;43F
416,	Ambulance,		car,		220,		650,		200,		4,		1,		1,		3
592,	Andromeda,		plane,		400,		1000,		120,		440000,		1,		1,		1
435,	Artic Trailer 1,	trailer,	290,		800,		360,		0000,		1,		1,		1
450,	Artic Trailer 2,	trailer,	290,		800,		360,		0000,		1,		1,		1
591,	Artic Trailer 3,	trailer,	290,		800,		360,		0000,		1,		1,		1
577,	AT-400,			plane,		4000,		10000,		400,		400000,		1,		1,		3
511,	B Eagle,		plane,		600,		1000,		120,		400000,		1,		3,		90
606,	Bagbox Trailer A,	trailer,	290,		800,		360,		4,		1,		1,		1
607,	Bagbox Trailer B,	trailer,	290,		800,		360,		4,		1,		1,		1
485,	Baggage,		car,		200,		350,		280,		4,		1,		1,		73
568,	Bandito,		car,		200,		390,		150,		308400,		1,		2,		39
429,	Banshee,		car,		200,		440,		130,		200000,		1,		12,		12,		3F0;3F1;3F2;43E;43F
433,	Barracks,		car,		330,		770,		420,		100000,		1,		43,		0
499,	Benson,			car,		230,		650,		330,		1,		1,		109,		25
424,	BF Injection,		car,		200,		350,		250,		308200,		1,		1,		0
581,	BF400,			bike,		110,		170,		120,		0,		1,		54,		1
509,	Bike,			bike,		110,		170,		120,		0,		1,		7,		1
536,	Blade,			car,		200,		490,		150,		12010000,	1,		9,		1,		3F0;3F1;3F2;43E;43F;450;451;49E;49D;4A0;49F;468;44F;454
496,	Blista Compact,		car,		190,		470,		150,		C00000,		1,		74,		72,		3F0;3F1;3F2;43E;43F;3EE;3EF;3F3;3FB;3FF;3E9;3EB;3EA;477;3FC
504,	Bloodring A,		car,		210,		500,		230,		10800200,	1,		51,		39
481,	BMX,			bike,		110,		170,		120,		0,		1,		1,		1
422,	Bobcat,			car,		210,		500,		230,		104004,		1,		96,		25,		3F0;3F1;3F2;43E;43F;3FC;3FD;3FB;3F5;3EF
498,	Boxville,		car,		300,		650,		380,		201,		1,		11,		123
609,	Boxville (Burgler),	car,		200,		500,		200,		201,		1,		36,		36
401,	Bravura,		car,		190,		490,		140,		1,		1,		41,		41,		3F0;3F1;3F2;43E;43F;3ED;3EC;477;479;3FC;3FB;3F5;3EE;3E9;3EB;3EF
575,	Broadway,		car,		200,		470,		190,		2012100,	1,		12,		1,		3F0;3F1;3F2;43E;43F;414;413;496;497;498;499;412
518,	Buccaneer,		car,		200,		490,		150,		4,		1,		2,		39,		3F0;3F1;3F2;43E;43F;3ED;477;479;3FC;3FA;3F5;3EE;3E9;3FF;3EB;3EF
402,	Buffalo,		car,		190,		490,		140,		10200000,	1,		10,		10,		3F0;3F1;3F2;43E;43F
541,	Bullet,			car,		200,		440,		130,		204000,		1,		51,		1,		3F0;3F1;3F2;43E;43F
482,	Burrito,		car,		230,		500,		230,		400000,		1,		41,		41
431,	Bus,			car,		290,		800,		300,		0,		1,		71,		59
438,	Cabbie,			car,		220,		500,		230,		0,		1,		6,		76,		3F0;3F1;3F2;43E;43F
527,	Cadrona,		car,		190,		490,		140,		2,		1,		52,		1,		3F0;3F1;3F2;43E;43F;3FD;3FC;3FA;3E9;3F6;3F7;3EF
483,	Camper,			car,		200,		500,		250,		400000,		1,		1,		31
548,	Cargobob,		heli,		450,		1000,		350,		400000,		1,		1,		1
524,	Cement Truck,		car,		250,		800,		350,		40200,		1,		60,		24
415,	Cheetah,		car,		200,		450,		140,		208000,		1,		20,		1,		3F0;3F1;3F2;43E;43F;3FB;3FA;3E9;3FF;3EB;3EF
542,	Clover,			car,		210,		500,		180,		10008004,	1,		13,		118,		3F0;3F1;3F2;43E;43F;479;3FC;3FD;3FB;3FA;3F6;3F7
589,	Club,			car,		190,		470,		150,		C00000,		1,		37,		37,		3F0;3F1;3F2;43E;43F;3ED;3EC;479;3FC;3FA;400;3F5;3EE;3F8;3E8;3EF
