#Edit this file as you wish. CarTypes are the selection tab on garage editor extended car selection. Type Name is the caption of the tab. TypeID is the
#reference to CarPictures. CarPictures are 100x72 pixel thumbnails, and saved under \CarPics folder. If a thumbnail is missing, or the car is not parkable,
#it will not be listed on the selection. You can list vehicles on more than one selection list. Create your own favorites to select one of your favorite
#cars to park in the selected garage. Use Pipe character '|' as seperator between fields. Most of the descriptions and the thumbnails are courtesy of
#www.g-unleashed.com. Please visit them. The g-unleashed.com thumbnails and descriptions are from the X-Box version of GTA SA, so some of the pictures
#and descriptions can actually differ from the PC edition.

GTASACarTypes
#TypeID       Type Name
0|            Favorites
1|            Sports Cars
2|            Off-road
3|            Lowriders
4|            Convertibles
5|            Other Cars
6|            Industrial Vehicles
7|            Public Service
8|            Helicopters
9|            Planes
10|           Bikes
11|           Boats
12|           Unique Vehicles
END_GTASACarTypes

GTASACarPictures
#CarID        TypeID        CarName       	Stars         CarDesc
506|          0|            Super GT|     	5|            A great looking car and quick too. But it's a bit of a handful at times and tricky to handle at high speed. Not recommended for a high pursuit, unless you want a challenge.
541|          0|            Bullet|       	5|            Awesome car. Looks stunning, drives superb and you can always pick one up outside the burger shot in Juniper Hill, San Fierro.
579|          0|            Huntley|      	5|            The huntley is a superb 4x4 that looks great too. Its handling is well balanced and sharp. The acceleration could be better, but that's forgiveable for a vehicle this big. It's good off road too.
539|          0|            Vortex|       	2|            It's a hovercraft! So you can drive on and off land. However, like all hovercrafts, it can be tricky to control. Not something you want to drive about the streets, but fun none the less.
568|          0|            Bandito|      	3|            A rare off road vehicle. The bandito is a speedy offroader that is fun to drive on and off the road. Turn the volume up and listen to that engine.
522|          0|            NRG-500|      	4|            The daddy of the bikes. Nothing beats this. It's light, fast and damn good fun. Grab this for unique jumps. You can get hold of one either in a wareshouse, easter basin docks, or get all gold in bike school to have one spawn outside the shcool.
602|          1|            Alpha|        	5|            One of the poorer sports cars. It feels a little overweight with sluggish handling and slight understeer. It's acceleration is disapointing too.
429|          1|            Banshee|      	5|            The wailing banshee is back. And it's better than ever. Looks great and drives even better. Awesome acceleration and slight oversteer make this a thrilling ride.
496|          1|            Blista Compact|	2|            Moves better than it looks. It's quick and nippy, but with low sex appeal, it isnt going to impress the ladies.
402|          1|            Buffalo|      	5|            Jump in one of these and turn up the volume. Awesome fun to drive and great style goes with it. You can find one spawned outside catalina's hideout in Fern Ridge.
